Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Access Type,Source,EID
"Shen, B., Bai, B., Xue, W.","57205576917; 56221792600; 57211372703","The effects of peer assessment on learner autonomy: An empirical study in a Chinese college English writing class",2020,"Studies in Educational Evaluation",64,"", 100821,,,,,10.1016/j.stueduc.2019.100821,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85073689028&partnerID=40&md5=27bb836fde784645e899898591ec6cc1",Article,Final,,Scopus,2-s2.0-85073689028
"Besson, O.","15820250300","Maximum likelihood covariance matrix estimation from two possibly mismatched data sets",2020,"Signal Processing",167,"", 107285,,,,,10.1016/j.sigpro.2019.107285,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85072271299&partnerID=40&md5=cca568efad17b9ba375ec623cf4255c1",Article,Final,,Scopus,2-s2.0-85072271299
"He, S., Shin, H.-S., Xu, S., Tsourdos, A.","56095901500; 10642381400; 57203987379; 6603755518","Distributed estimation over a low-cost sensor network: A Review of state-of-the-art",2020,"Information Fusion",54,"",,21,43,,,10.1016/j.inffus.2019.06.026,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85068989578&partnerID=40&md5=984b29942ce9cc9965200b26a465f5ce",Article,Final,Open Access,Scopus,2-s2.0-85068989578
"Fang, H., Wu, Q., Li, Y., Ren, Y., Li, C., Xiao, X., Xiao, T., Chu, K., Ke, X.","55990714700; 57194789629; 57188732377; 57211239572; 57208269449; 55386303800; 55385916900; 35279235100; 16171001800","Structural networks in children with autism spectrum disorder with regression: A graph theory study",2020,"Behavioural Brain Research",378,"", 112262,,,,,10.1016/j.bbr.2019.112262,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85073103111&partnerID=40&md5=446dda3ecdf15f8bcc9c964cb5084d39",Article,Final,,Scopus,2-s2.0-85073103111
"Nam-Koong, H., Schroeder, J.P., Petrick, G., Schulz, C.","57142504700; 35800376100; 6603705478; 57211373044","Preliminary test of ultrasonically disinfection efficacy towards selected aquaculture pathogens",2020,"Aquaculture",515,"", 734592,,,,,10.1016/j.aquaculture.2019.734592,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85073671522&partnerID=40&md5=78f611bd6d8554fc45f7ea15a803fb67",Article,Final,,Scopus,2-s2.0-85073671522
"Hyatt, C.S., Owens, M.M., Crowe, M.L., Carter, N.T., Lynam, D.R., Miller, J.D.","55928613800; 55427748600; 57072833900; 36937102500; 55416190700; 57210473344","The quandary of covarying: A brief review and empirical examination of covariate use in structural neuroimaging studies on psychological variables",2020,"NeuroImage",205,"", 116225,,,,,10.1016/j.neuroimage.2019.116225,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85073741377&partnerID=40&md5=9a877363bbd38198e3c9c46e2bba542d",Article,Final,,Scopus,2-s2.0-85073741377
"Boente, G., Pardo–Fernández, J.C.","6602893924; 57211042145","Testing for superiority between two variance functions",2020,"Statistics and Probability Letters",156,"", 108612,,,,,10.1016/j.spl.2019.108612,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85072376571&partnerID=40&md5=2f977050806b72d026c196a47aca0049",Article,Final,,Scopus,2-s2.0-85072376571
"Yang, Y., Tan, J., Duan, X., Zhang, H., Feng, X., Wang, T., Wang, P., Ding, M., Liu, S., Li, L., Liang, H., Yao, W., Wang, W., Zhou, X.","7409381855; 57211026435; 57188857518; 57202296611; 57188848862; 57189495253; 57189494360; 57206021527; 57195214639; 57195217334; 57211023255; 55337039900; 56924020200; 57205507493","The association between polymorphisms in tankyrase gene and telomere length in omethoate–exposed workers",2020,"Chemosphere",238,"", 124863,,,,,10.1016/j.chemosphere.2019.124863,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85072277034&partnerID=40&md5=5c77f4e7a4a694c7213d9863331ba6ea",Article,Final,,Scopus,2-s2.0-85072277034
"Fry, J.E., Guber, A.K.","56486919600; 7004066892","Temporal stability of field-scale patterns in soil water content across topographically diverse agricultural landscapes",2020,"Journal of Hydrology",580,"", 124260,,,,,10.1016/j.jhydrol.2019.124260,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85073918796&partnerID=40&md5=dfcdcb088d6dca3bdd84040b457ce579",Article,Final,,Scopus,2-s2.0-85073918796
"Mason, B.L., Davidov, A., Minhajuddin, A., Trivedi, M.H.","16245784000; 57210914955; 8605140800; 57209792295","Focusing on insomnia symptoms to better understand depression: A STAR*D report",2020,"Journal of Affective Disorders",260,"",,183,186,,,10.1016/j.jad.2019.08.094,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85071866276&partnerID=40&md5=d5f349db440dda7d5e54efe4f662db53",Article,Final,,Scopus,2-s2.0-85071866276
